Chain;WEEK;QUARTER;DOVESales;FASales;NIVEASales;REXONASales;SANEXSales;VOGUESales;@8X4Sales;AXESales;DOVEPrice;FAPrice;NIVEAPrice;REXONAPrice;SANEXPrice;VOGUEPrice;@8X4Price;AXEPrice;DOVERPrice;FARPrice;NIVEARPrice;REXONARPrice;SANEXRPrice;VOGUERPrice;@8X4RPrice;AXERPrice;FADISP;NIVEADISP;REXONADISP;SANEXDISP;VOGUEDISP;@8X4DISP;DOVEDISP;AXEDISP;FAFEAT;NIVEAFEAT;REXONAFEAT;SANEXFEAT;VOGUEFEAT;@8X4FEAT;DOVEFEAT;AXEFEAT;FADF;NIVEADF;REXONADF;SANEXDF;VOGUEDF;@8X4DF;DOVEDF;AXEDF
ALBERT HEIJN;W04046;4,00;28,93;28,8;25,71;58,14;59,89;21,80;39,17;90,68;2,989630141721;1,768563497571;3,276546091015;2,990024079807;1,989146769077;2,721100917431;1,290273168241;2,749558888399;2,989630141721;1,768563497571;3,276546091015;2,990024079807;1,987869198312;2,72;1,29;2,749527515286;0,04;0,00;0,00;0;0,00;0;0,02;0,02;0,01;0,04;0,06;0;0,03;0;0,05;0,05;0,00;0,03;0,06;0;0,05;0;0,05;0,03
ALBERT HEIJN;W04047;4,00;30,15;30,6;32,17;64,32;60,46;26,27;39,79;106,33;2,988391376451;1,713679399282;3,229717127759;2,989427860697;1,989579887529;2,746478873239;1,289771299321;2,749271137026;2,988391376451;1,713724205699;3,267650834403;2,989427860697;1,989850169164;2,75;1,29;2,749566891242;0,03;0,01;0,04;0;0,01;0;0,02;0,02;0,01;0,15;0,02;0;0;0;0,01;0,10;0,02;0,22;0,03;0;0;0;0,03;0,03
ALBERT HEIJN;W04048;4,00;32,41;28,5;27,50;64,54;69,39;22,13;46,27;97,83;2,990126504165;1,730431730432;3,278909090909;2,989618841029;1,988759187203;2,743786714867;1,289820618111;2,749667791066;2,990126504165;1,731612446959;3,278909090909;2,989618841029;1,988660417297;2,74;1,29;2,749226006192;0,03;0,03;0,00;0;0,01;0;0,04;0,05;0,00;0,03;0;0;0,01;0;0,01;0,00;0,00;0,02;0;0;0,01;0;0,04;0,00
ALBERT HEIJN;W04049;4,00;33,16;30,0;27,87;63,09;60,74;22,55;40,49;110,19;2,989143546442;1,721666666667;3,227125941873;2,989855761610;1,990121830754;2,750776053215;1,289948135342;2,747526998820;2,989143546442;1,721666666667;3,264444444444;2,989855761610;1,990215588723;2,75;1,29;2,749375982250;0,01;0,01;0,01;0;0,02;0;0,03;0,06;0,00;0,01;0,11;0;0;0;0,02;0,04;0,00;0,01;0,02;0;0;0;0,07;0,04
ALBERT HEIJN;W04050;4,00;35,72;27,6;56,55;71,81;58,09;24,06;41,92;81,48;1,989361702128;1,714648295867;2,759151193634;1,989973541290;1,990187639869;1,988362427265;1,290076335878;2,749877270496;1,965517241379;1,714648295867;3,117529880478;2,000000000000;1,990187639869;1,97;1,29;2,749877270496;0,01;0,31;0,05;0;0,01;0;0,05;0,02;0,00;0,00;0,04;0,02;0;0;0,04;0,02;0,00;0,00;0,01;0,01;0;0;0,06;0,02
ALBERT HEIJN;W04051;4,00;34,84;26,9;55,46;76,50;61,15;28,39;40,95;86,20;1,987944890930;1,729197622585;2,796970789758;1,988496732026;1,988552739166;1,992603029236;1,290354090354;2,748607888631;2,000000000000;1,729197622585;3,129870129870;1,987341772152;1,988552739166;2,03;1,29;2,749329602425;0,04;0,27;0,00;0;0,00;0;0,05;0,04;0,00;0,00;0;0;0;0;0;0,00;0,00;0,00;0;0;0;0;0;0,00
ALBERT HEIJN;W04052;4,00;38,60;46,0;29,99;79,97;62,43;28,64;35,81;144,69;1,990155440415;1,532637075718;3,272757585862;1,989996248593;1,989748518341;1,989175977654;1,290142418319;2,198078650909;1,996913580247;1,658135283364;3,278192934783;1,989898989899;1,989748518341;1,99;1,29;2,362934362934;0,28;0,01;0,01;0;0,00;0;0,03;0,29;0,00;0,00;0;0,05;0;0;0;0,00;0,00;0,00;0;0,02;0;0;0;0,00
ALBERT HEIJN;W05001;1,00;45,80;29,4;29,54;730,43;70,63;26,01;45,46;94,50;1,987336244541;1,737057220708;3,276574136764;1,529660610873;1,985558544528;1,992695117263;1,288605367356;2,689629629630;1,990369884001;1,739463601533;3,276574136764;0,000000000000;1,990138630842;1,99;1,29;2,741620752984;0,04;0,01;0,00;0;0,00;0;0,02;0,02;0,00;0,00;0,43;0;0;0;0;0,00;0,00;0,00;0,34;0;0;0;0,01;0,00
ALBERT HEIJN;W05002;1,00;45,36;23,3;68,59;80,40;67,03;27,87;44,65;111,35;1,968253968254;1,715943274602;2,058463332847;1,977611940299;1,990004475608;1,991747398637;1,288465845465;2,550516389762;1,968253968254;1,717136659436;2,241860465116;1,997579343733;1,990004475608;1,99;1,29;2,709478097760;0,02;0,28;0,03;0;0,00;0;0,01;0,00;0,02;0,00;0;0,01;0;0;0,01;0,00;0,06;0,00;0;0;0;0;0,02;0,00
ALBERT HEIJN;W05003;1,00;43,85;24,8;71,23;78,07;63,33;25,21;47,55;86,64;1,971949828962;1,723455793298;2,041695914643;2,003074164212;1,989894204958;1,992859976200;1,290010515247;2,702446906741;1,973333333333;1,723455793298;2,004830917874;2,004237849291;1,989894204958;1,99;1,29;2,730455220188;0,02;0,31;0,00;0;0,00;0;0,02;0,01;0,01;0,10;0;0;0;0;0;0,01;0,00;0,01;0;0;0;0;0;0,01
